id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
109707,8279,T'ai Fu: Wrath of the Tiger,NULL,1999-02-28 00:00:00.000,NULL,NULL,NULL,NULL,75.5856,5
109710,37465,WonderSwan Handy Sonar,NULL,1999-06-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
109728,146341,Ou Dorobou Jing: Devil Version,NULL,1999-03-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
109883,186601,Apollo's Palace,NULL,1999-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
109913,24116,NHL Championship 2000,NULL,1999-09-01 00:00:00.000,NULL,NULL,60.0000,1,NULL,NULL
110003,43986,Metal Slug 1st Mission,NULL,1999-05-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
110022,73965,Gearhead Garage,NULL,1999-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
110062,4111,Test Drive 6,NULL,1999-10-31 00:00:00.000,4,NULL,NULL,NULL,63.7069,10
110469,2786,Rugrats: Scavenger Hunt,NULL,1999-06-29 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
110647,73772,Cabela's Big Game Hunter III,NULL,1999-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
110801,128795,Krakels ABC: Läsa,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
110846,2289,Pokémon Stadium,NULL,1999-04-30 00:00:00.000,47,NULL,NULL,NULL,72.6781,192
110927,74346,Maria 2: Jutai Kokuchi no Nazo,NULL,1999-08-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
110954,115779,Monster Manor,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
111159,8229,TrickStyle,NULL,1999-09-09 00:00:00.000,3,NULL,60.0000,1,70.0000,2
111240,167641,Star Wars: Episode I - Racer,NULL,1999-12-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
